shipment_id,expected_eta_hours,actual_hours,sla_utilization,breach_probability,risk_level
SHIP-2026-00057,34,1143.47,33.631,0.728,HIGH
SHIP-2026-00058,39,674.75,17.301,0.947,CRITICAL
SHIP-2026-00059,75,348.73,4.65,0.817,CRITICAL
SHIP-2026-00060,43,625.22,14.54,0.974,CRITICAL
SHIP-2026-00061,58,1451.32,25.023,0.818,CRITICAL
SHIP-2026-00062,51,421.52,8.265,0.886,CRITICAL
SHIP-2026-00063,50,953.02,19.06,0.887,CRITICAL
SHIP-2026-00064,44,1334.18,30.322,0.925,CRITICAL
SHIP-2026-00065,96,1164.28,12.128,0.983,CRITICAL
SHIP-2026-00066,46,1451.23,31.548,0.894,CRITICAL
SHIP-2026-00067,119,1272.65,10.695,0.9,CRITICAL
SHIP-2026-00068,106,1187.17,11.2,0.913,CRITICAL
SHIP-2026-00069,41,888.98,21.682,0.931,CRITICAL
SHIP-2026-00070,46,910.88,19.802,0.817,CRITICAL
SHIP-2026-00071,59,829.7,14.063,0.727,HIGH
SHIP-2026-00072,32,157.38,4.918,0.899,CRITICAL
SHIP-2026-00073,41,953.82,23.264,0.947,CRITICAL
SHIP-2026-00074,25,422.25,16.89,0.776,CRITICAL
SHIP-2026-00075,41,1306.18,31.858,0.73,HIGH
SHIP-2026-00076,82,840.55,10.251,0.778,CRITICAL
SHIP-2026-00077,60,1006.52,16.775,0.807,CRITICAL
SHIP-2026-00078,51,477.62,9.365,0.853,CRITICAL
SHIP-2026-00079,53,1070.28,20.194,0.99,CRITICAL
SHIP-2026-00080,31,294.78,9.509,0.81,CRITICAL
SHIP-2026-00081,38,347.18,9.136,0.859,CRITICAL
SHIP-2026-00082,50,849.73,16.995,0.839,CRITICAL
SHIP-2026-00083,58,735.47,12.681,0.908,CRITICAL
SHIP-2026-00084,95,615.07,6.474,0.898,CRITICAL
SHIP-2026-00085,88,363.58,4.132,0.805,CRITICAL
SHIP-2026-00086,42,474.45,11.296,0.795,CRITICAL
SHIP-2026-00087,113,1010.17,8.94,0.9,CRITICAL
SHIP-2026-00088,68,1075.5,15.816,0.944,CRITICAL
SHIP-2026-00089,70,1424.83,20.355,0.904,CRITICAL
SHIP-2026-00090,74,988.97,13.364,0.928,CRITICAL
SHIP-2026-00091,65,675.48,10.392,0.902,CRITICAL
SHIP-2026-00092,36,913.93,25.387,0.881,CRITICAL
SHIP-2026-00093,64,1050.62,16.416,0.735,HIGH
SHIP-2026-00094,47,812.47,17.287,0.741,HIGH
SHIP-2026-00095,39,541.35,13.881,0.819,CRITICAL
SHIP-2026-00096,29,453.42,15.635,0.81,CRITICAL
SHIP-2026-00097,95,483.82,5.093,0.99,CRITICAL
SHIP-2026-00098,54,304.38,5.637,0.812,CRITICAL
SHIP-2026-00099,41,844.98,20.609,0.803,CRITICAL
SHIP-2026-00100,73,1085.32,14.867,0.823,CRITICAL
SHIP-2026-00101,48,1443.68,30.077,0.822,CRITICAL
SHIP-2026-00102,30,727.48,24.249,0.818,CRITICAL
SHIP-2026-00103,25,520.28,20.811,0.822,CRITICAL
SHIP-2026-00104,28,831.37,29.692,0.824,CRITICAL
SHIP-2026-00105,17,1063.6,62.565,0.748,HIGH
SHIP-2026-00106,26,1092.4,42.015,0.899,CRITICAL
SHIP-2026-00107,25,786.35,31.454,0.83,CRITICAL
SHIP-2026-00108,110,1108.43,10.077,0.816,CRITICAL
SHIP-2026-00109,49,958.42,19.56,0.926,CRITICAL
SHIP-2026-00110,107,938.25,8.769,0.877,CRITICAL
SHIP-2026-00111,30,1172.75,39.092,0.764,CRITICAL
SHIP-2026-00112,81,1201.3,14.831,0.99,CRITICAL
SHIP-2026-00113,47,266.65,5.673,0.917,CRITICAL
SHIP-2026-00114,70,716.27,10.232,0.884,CRITICAL
SHIP-2026-00115,38,683.62,17.99,0.803,CRITICAL
SHIP-2026-00116,21,591.1,28.148,0.766,CRITICAL
SHIP-2026-00117,115,408.6,3.553,0.892,CRITICAL
SHIP-2026-00118,62,923.23,14.891,0.786,CRITICAL
SHIP-2026-00119,81,1214.03,14.988,0.774,CRITICAL
SHIP-2026-00120,39,270.13,6.926,0.742,HIGH
SHIP-2026-00121,98,1407.85,14.366,0.85,CRITICAL
SHIP-2026-00122,72,1159.92,16.11,0.725,HIGH
SHIP-2026-00123,61,8.57,0.14,0.084,LOW
SHIP-2026-00124,70,165.23,2.36,0.834,CRITICAL
SHIP-2026-00125,51,974.97,19.117,0.869,CRITICAL
SHIP-2026-00126,116,471.12,4.061,0.724,HIGH
SHIP-2026-00127,65,1031.73,15.873,0.86,CRITICAL
SHIP-2026-00128,64,949.28,14.832,0.76,CRITICAL
SHIP-2026-00129,72,165.38,2.297,0.894,CRITICAL
SHIP-2026-00130,106,1454.08,13.718,0.872,CRITICAL
SHIP-2026-00131,24,210.22,8.759,0.836,CRITICAL
SHIP-2026-00132,40,1180.83,29.521,0.938,CRITICAL
SHIP-2026-00133,33,189.92,5.755,0.99,CRITICAL
SHIP-2026-00134,74,385.13,5.204,0.836,CRITICAL
SHIP-2026-00135,106,786.1,7.416,0.937,CRITICAL
SHIP-2026-00136,32,87.9,2.747,0.806,CRITICAL
SHIP-2026-00137,62,499.15,8.051,0.766,CRITICAL
SHIP-2026-00138,37,787.45,21.282,0.918,CRITICAL
SHIP-2026-00139,58,634.87,10.946,0.868,CRITICAL
SHIP-2026-00140,114,1016.38,8.916,0.933,CRITICAL
SHIP-2026-00141,45,651.78,14.484,0.735,HIGH
SHIP-2026-00142,77,549.8,7.14,0.848,CRITICAL
SHIP-2026-00143,77,162.53,2.111,0.817,CRITICAL
SHIP-2026-00144,35,176.6,5.046,0.99,CRITICAL
SHIP-2026-00145,88,430.8,4.895,0.99,CRITICAL
SHIP-2026-00146,39,239.67,6.145,0.722,HIGH
SHIP-2026-00147,45,509.38,11.32,0.99,CRITICAL
SHIP-2026-00148,60,1171.05,19.517,0.76,CRITICAL
SHIP-2026-00149,91,414.8,4.558,0.93,CRITICAL
SHIP-2026-00150,51,55.42,1.087,0.724,HIGH
SHIP-2026-00151,58,442.12,7.623,0.814,CRITICAL
SHIP-2026-00152,52,785.88,15.113,0.892,CRITICAL
SHIP-2026-00153,18,698.92,38.829,0.897,CRITICAL
SHIP-2026-00154,32,600.33,18.76,0.782,CRITICAL
SHIP-2026-00155,41,1299.25,31.689,0.875,CRITICAL
SHIP-2026-00156,66,346.82,5.255,0.824,CRITICAL
SHIP-2026-00157,67,1124.87,16.789,0.847,CRITICAL
SHIP-2026-00158,82,1172.07,14.294,0.788,CRITICAL
SHIP-2026-00159,31,230.07,7.422,0.948,CRITICAL
SHIP-2026-00160,38,470.47,12.381,0.826,CRITICAL
SHIP-2026-00161,62,714.58,11.525,0.81,CRITICAL
SHIP-2026-00162,68,772.05,11.354,0.839,CRITICAL
SHIP-2026-00163,26,382.47,14.71,0.942,CRITICAL
SHIP-2026-00164,51,589.82,11.565,0.949,CRITICAL
SHIP-2026-00165,43,861.4,20.033,0.881,CRITICAL
SHIP-2026-00166,102,1403.32,13.758,0.766,CRITICAL
SHIP-2026-00167,63,994.87,15.792,0.834,CRITICAL
SHIP-2026-00168,46,561.18,12.2,0.849,CRITICAL
SHIP-2026-00169,48,218.3,4.548,0.846,CRITICAL
SHIP-2026-00170,73,221.18,3.03,0.781,CRITICAL
SHIP-2026-00171,39,573.77,14.712,0.835,CRITICAL
SHIP-2026-00172,67,1239.95,18.507,0.796,CRITICAL
SHIP-2026-00173,77,784.43,10.187,0.88,CRITICAL
SHIP-2026-00174,49,1331.58,27.175,0.811,CRITICAL
SHIP-2026-00175,107,422.95,3.953,0.829,CRITICAL
SHIP-2026-00176,34,1416.43,41.66,0.846,CRITICAL
SHIP-2026-00177,25,336.33,13.453,0.916,CRITICAL
SHIP-2026-00178,25,447.73,17.909,0.924,CRITICAL
SHIP-2026-00179,29,32.22,1.111,0.86,CRITICAL
SHIP-2026-00180,58,459.05,7.915,0.727,HIGH
SHIP-2026-00181,73,929.02,12.726,0.927,CRITICAL
SHIP-2026-00182,28,947.25,33.83,0.895,CRITICAL
SHIP-2026-00183,58,591.03,10.19,0.826,CRITICAL
SHIP-2026-00184,70,535.77,7.654,0.836,CRITICAL
SHIP-2026-00185,80,826.87,10.336,0.846,CRITICAL
SHIP-2026-00186,42,118.82,2.829,0.824,CRITICAL
SHIP-2026-00187,42,1425.53,33.941,0.759,CRITICAL
SHIP-2026-00188,80,529.92,6.624,0.838,CRITICAL
SHIP-2026-00189,32,1380.35,43.136,0.767,CRITICAL
SHIP-2026-00190,16,133.63,8.352,0.727,HIGH
SHIP-2026-00191,95,1017.32,10.709,0.773,CRITICAL
SHIP-2026-00192,37,71.92,1.944,0.925,CRITICAL
SHIP-2026-00193,92,117.67,1.279,0.822,CRITICAL
SHIP-2026-00194,84,52.07,0.62,0.287,MEDIUM
SHIP-2026-00195,80,916.72,11.459,0.91,CRITICAL
SHIP-2026-00196,43,500.28,11.634,0.881,CRITICAL
SHIP-2026-00197,51,392.75,7.701,0.95,CRITICAL
SHIP-2026-00198,45,194.47,4.322,0.941,CRITICAL
SHIP-2026-00199,69,857.3,12.425,0.862,CRITICAL
SHIP-2026-00200,52,292.25,5.62,0.837,CRITICAL
SHIP-2026-00201,79,105.42,1.334,0.896,CRITICAL
SHIP-2026-00202,56,202.68,3.619,0.93,CRITICAL
SHIP-2026-00203,42,664.97,15.833,0.947,CRITICAL
SHIP-2026-00204,39,502.23,12.878,0.744,HIGH
SHIP-2026-00205,54,212.32,3.932,0.807,CRITICAL
SHIP-2026-00206,93,1290.03,13.871,0.861,CRITICAL
SHIP-2026-00207,69,956.02,13.855,0.736,HIGH
SHIP-2026-00208,40,470.07,11.752,0.86,CRITICAL
SHIP-2026-00209,78,523.15,6.707,0.767,CRITICAL
SHIP-2026-00210,70,785.1,11.216,0.835,CRITICAL
SHIP-2026-00211,110,145.3,1.321,0.799,CRITICAL
SHIP-2026-00212,30,293.52,9.784,0.801,CRITICAL
SHIP-2026-00213,37,1452.53,39.258,0.741,HIGH
SHIP-2026-00214,74,763.93,10.323,0.824,CRITICAL
SHIP-2026-00215,61,200.77,3.291,0.948,CRITICAL
SHIP-2026-00216,67,569.3,8.497,0.808,CRITICAL
SHIP-2026-00217,70,611.83,8.74,0.929,CRITICAL
SHIP-2026-00218,82,49.13,0.599,0.06,LOW
SHIP-2026-00219,65,499.33,7.682,0.829,CRITICAL
SHIP-2026-00220,63,720.38,11.435,0.761,CRITICAL
SHIP-2026-00221,100,404.83,4.048,0.839,CRITICAL
SHIP-2026-00222,35,237.25,6.779,0.82,CRITICAL
SHIP-2026-00223,65,493.15,7.587,0.801,CRITICAL
SHIP-2026-00224,45,850.7,18.904,0.888,CRITICAL
SHIP-2026-00225,77,1055.72,13.711,0.773,CRITICAL
SHIP-2026-00226,54,849.23,15.726,0.819,CRITICAL
SHIP-2026-00227,84,545.98,6.5,0.829,CRITICAL
SHIP-2026-00228,21,1259.82,59.991,0.822,CRITICAL
SHIP-2026-00229,79,992.78,12.567,0.838,CRITICAL
SHIP-2026-00230,64,959.62,14.994,0.946,CRITICAL
SHIP-2026-00231,70,634.75,9.068,0.812,CRITICAL
SHIP-2026-00232,28,999.5,35.696,0.814,CRITICAL
SHIP-2026-00233,54,1394.68,25.827,0.99,CRITICAL
SHIP-2026-00234,67,1417.88,21.162,0.84,CRITICAL
SHIP-2026-00235,56,883.1,15.77,0.847,CRITICAL
SHIP-2026-00236,69,291.35,4.222,0.724,HIGH
SHIP-2026-00237,80,1209.6,15.12,0.922,CRITICAL
SHIP-2026-00238,29,621.1,21.417,0.84,CRITICAL
SHIP-2026-00239,92,374.8,4.074,0.944,CRITICAL
SHIP-2026-00240,77,93.12,1.209,0.82,CRITICAL
SHIP-2026-00241,20,571.23,28.562,0.72,HIGH
SHIP-2026-00242,113,1169.85,10.353,0.857,CRITICAL
SHIP-2026-00243,71,114.12,1.607,0.877,CRITICAL
SHIP-2026-00244,70,1312.47,18.75,0.87,CRITICAL
SHIP-2026-00245,73,700.53,9.596,0.841,CRITICAL
SHIP-2026-00246,44,384.78,8.745,0.887,CRITICAL
SHIP-2026-00247,105,1418.98,13.514,0.808,CRITICAL
SHIP-2026-00248,87,1380.47,15.867,0.904,CRITICAL
SHIP-2026-00249,47,828.55,17.629,0.832,CRITICAL
SHIP-2026-00250,77,1055.57,13.709,0.914,CRITICAL
SHIP-2026-00251,100,224.2,2.242,0.918,CRITICAL
SHIP-2026-00252,116,366.07,3.156,0.913,CRITICAL
SHIP-2026-00253,103,679.57,6.598,0.932,CRITICAL
SHIP-2026-00254,52,1271.6,24.454,0.89,CRITICAL
SHIP-2026-00255,45,1024.23,22.761,0.899,CRITICAL
SHIP-2026-00256,72,548.7,7.621,0.826,CRITICAL
SHIP-2026-00257,32,581.8,18.181,0.897,CRITICAL
SHIP-2026-00258,58,1393.58,24.027,0.875,CRITICAL
SHIP-2026-00259,115,322.68,2.806,0.785,CRITICAL
SHIP-2026-00260,93,597.63,6.426,0.888,CRITICAL
SHIP-2026-00261,114,1330.32,11.669,0.967,CRITICAL
SHIP-2026-00262,71,1075.75,15.151,0.751,CRITICAL
SHIP-2026-00263,81,836.37,10.326,0.782,CRITICAL
SHIP-2026-00264,106,1162.97,10.971,0.919,CRITICAL
SHIP-2026-00265,47,401.98,8.553,0.818,CRITICAL
SHIP-2026-00266,58,348.6,6.01,0.797,CRITICAL
SHIP-2026-00267,34,701.77,20.64,0.938,CRITICAL
SHIP-2026-00268,74,1274.87,17.228,0.942,CRITICAL
SHIP-2026-00269,66,1084.0,16.424,0.99,CRITICAL
SHIP-2026-00270,66,17.58,0.266,0.08,LOW
SHIP-2026-00271,102,1229.1,12.05,0.856,CRITICAL
SHIP-2026-00272,52,420.08,8.078,0.99,CRITICAL
SHIP-2026-00273,47,1004.8,21.379,0.924,CRITICAL
SHIP-2026-00274,58,1061.08,18.294,0.808,CRITICAL
SHIP-2026-00275,72,334.93,4.652,0.887,CRITICAL
SHIP-2026-00276,84,1426.02,16.976,0.946,CRITICAL
SHIP-2026-00277,53,871.6,16.445,0.856,CRITICAL
SHIP-2026-00278,111,791.37,7.129,0.918,CRITICAL
SHIP-2026-00279,82,44.28,0.54,0.139,LOW
SHIP-2026-00280,46,1050.7,22.841,0.931,CRITICAL
SHIP-2026-00281,82,412.4,5.029,0.923,CRITICAL
SHIP-2026-00282,42,120.32,2.865,0.948,CRITICAL
SHIP-2026-00283,105,662.58,6.31,0.927,CRITICAL
SHIP-2026-00284,65,931.83,14.336,0.898,CRITICAL
SHIP-2026-00285,78,1121.95,14.384,0.77,CRITICAL
SHIP-2026-00286,60,464.52,7.742,0.795,CRITICAL
SHIP-2026-00287,44,1202.38,27.327,0.813,CRITICAL
SHIP-2026-00288,16,201.0,12.562,0.851,CRITICAL
SHIP-2026-00289,57,668.63,11.73,0.99,CRITICAL
SHIP-2026-00290,97,610.3,6.292,0.848,CRITICAL
SHIP-2026-00291,91,1260.38,13.85,0.99,CRITICAL
SHIP-2026-00292,81,681.88,8.418,0.805,CRITICAL
SHIP-2026-00293,21,368.7,17.557,0.792,CRITICAL
SHIP-2026-00294,33,900.57,27.29,0.899,CRITICAL
SHIP-2026-00295,95,1183.7,12.46,0.842,CRITICAL
SHIP-2026-00296,69,144.1,2.088,0.891,CRITICAL
SHIP-2026-00297,42,717.62,17.086,0.84,CRITICAL
SHIP-2026-00298,53,626.12,11.814,0.891,CRITICAL
SHIP-2026-00299,57,807.37,14.164,0.722,HIGH
SHIP-2026-00300,46,70.12,1.524,0.806,CRITICAL
SHIP-2026-00301,37,845.35,22.847,0.906,CRITICAL
SHIP-2026-00302,86,981.45,11.412,0.778,CRITICAL
SHIP-2026-00303,53,22.22,0.419,0.102,LOW
SHIP-2026-00304,32,562.2,17.569,0.818,CRITICAL
SHIP-2026-00305,108,891.37,8.253,0.918,CRITICAL
SHIP-2026-00306,113,483.25,4.277,0.938,CRITICAL
SHIP-2026-00307,84,876.45,10.434,0.838,CRITICAL
SHIP-2026-00308,44,197.33,4.485,0.802,CRITICAL
SHIP-2026-00309,61,300.58,4.928,0.783,CRITICAL
SHIP-2026-00310,67,242.6,3.621,0.927,CRITICAL
SHIP-2026-00311,36,825.17,22.921,0.758,CRITICAL
SHIP-2026-00312,116,1193.87,10.292,0.798,CRITICAL
SHIP-2026-00313,34,167.88,4.938,0.807,CRITICAL
SHIP-2026-00314,113,1322.47,11.703,0.822,CRITICAL
SHIP-2026-00315,78,259.13,3.322,0.866,CRITICAL
SHIP-2026-00316,82,502.3,6.126,0.968,CRITICAL
SHIP-2026-00317,90,428.13,4.757,0.886,CRITICAL
SHIP-2026-00318,37,748.6,20.232,0.823,CRITICAL
SHIP-2026-00319,52,616.78,11.861,0.744,HIGH
SHIP-2026-00320,61,888.92,14.572,0.828,CRITICAL
SHIP-2026-00321,84,325.87,3.879,0.724,HIGH
SHIP-2026-00322,57,1210.95,21.245,0.99,CRITICAL
SHIP-2026-00323,35,1421.47,40.613,0.811,CRITICAL
SHIP-2026-00324,84,248.08,2.953,0.745,HIGH
SHIP-2026-00325,32,969.77,30.305,0.908,CRITICAL
SHIP-2026-00326,69,722.13,10.466,0.816,CRITICAL
SHIP-2026-00327,87,1251.92,14.39,0.99,CRITICAL
SHIP-2026-00328,110,1107.1,10.065,0.836,CRITICAL
SHIP-2026-00329,51,112.6,2.208,0.924,CRITICAL
SHIP-2026-00330,65,983.15,15.125,0.935,CRITICAL
SHIP-2026-00331,19,195.62,10.296,0.811,CRITICAL
SHIP-2026-00332,61,428.08,7.018,0.904,CRITICAL
SHIP-2026-00333,119,811.53,6.82,0.814,CRITICAL
SHIP-2026-00334,47,175.52,3.734,0.99,CRITICAL
SHIP-2026-00335,55,594.43,10.808,0.848,CRITICAL
SHIP-2026-00336,42,8.22,0.196,0.092,LOW
SHIP-2026-00337,54,670.42,12.415,0.888,CRITICAL
SHIP-2026-00338,60,136.97,2.283,0.871,CRITICAL
SHIP-2026-00339,48,478.45,9.968,0.99,CRITICAL
SHIP-2026-00340,111,715.63,6.447,0.825,CRITICAL
SHIP-2026-00341,54,1056.17,19.559,0.807,CRITICAL
SHIP-2026-00342,116,1136.77,9.8,0.835,CRITICAL
SHIP-2026-00343,40,794.27,19.857,0.933,CRITICAL
SHIP-2026-00344,115,762.17,6.628,0.978,CRITICAL
SHIP-2026-00345,92,48.25,0.524,0.059,LOW
SHIP-2026-00346,98,346.25,3.533,0.99,CRITICAL
SHIP-2026-00347,73,271.85,3.724,0.808,CRITICAL
SHIP-2026-00348,23,482.58,20.982,0.737,HIGH
SHIP-2026-00349,60,570.52,9.509,0.895,CRITICAL
SHIP-2026-00350,25,31.57,1.263,0.729,HIGH
SHIP-2026-00351,43,1319.77,30.692,0.99,CRITICAL
SHIP-2026-00352,49,238.28,4.863,0.928,CRITICAL
SHIP-2026-00353,70,891.53,12.736,0.825,CRITICAL
SHIP-2026-00354,29,369.27,12.733,0.839,CRITICAL
SHIP-2026-00355,110,415.07,3.773,0.81,CRITICAL
SHIP-2026-00356,34,686.33,20.186,0.824,CRITICAL
SHIP-2026-00357,115,387.08,3.366,0.949,CRITICAL
SHIP-2026-00358,46,142.25,3.092,0.838,CRITICAL
SHIP-2026-00359,52,1452.9,27.94,0.877,CRITICAL
SHIP-2026-00360,102,1228.12,12.04,0.843,CRITICAL
SHIP-2026-00361,56,573.67,10.244,0.89,CRITICAL
SHIP-2026-00362,69,308.47,4.471,0.812,CRITICAL
SHIP-2026-00363,75,77.98,1.04,0.73,HIGH
SHIP-2026-00364,67,1045.18,15.6,0.862,CRITICAL
SHIP-2026-00365,58,67.65,1.166,0.826,CRITICAL
SHIP-2026-00366,43,74.28,1.727,0.81,CRITICAL
SHIP-2026-00367,30,737.83,24.594,0.837,CRITICAL
SHIP-2026-00368,44,34.63,0.787,0.403,MEDIUM
SHIP-2026-00369,75,1194.23,15.923,0.905,CRITICAL
SHIP-2026-00370,101,876.37,8.677,0.789,CRITICAL
SHIP-2026-00371,55,1247.73,22.686,0.831,CRITICAL
SHIP-2026-00372,84,825.18,9.824,0.919,CRITICAL
SHIP-2026-00373,21,10.97,0.522,0.132,LOW
SHIP-2026-00374,66,28.62,0.434,0.105,LOW
SHIP-2026-00375,83,891.35,10.739,0.82,CRITICAL
SHIP-2026-00376,26,286.58,11.022,0.762,CRITICAL
SHIP-2026-00377,75,1126.3,15.017,0.835,CRITICAL
SHIP-2026-00378,37,1411.23,38.141,0.802,CRITICAL
SHIP-2026-00379,76,371.33,4.886,0.895,CRITICAL
SHIP-2026-00380,41,390.25,9.518,0.874,CRITICAL
SHIP-2026-00381,57,695.43,12.201,0.828,CRITICAL
SHIP-2026-00382,48,1287.83,26.83,0.843,CRITICAL
SHIP-2026-00383,35,1225.3,35.009,0.912,CRITICAL
SHIP-2026-00384,114,1356.17,11.896,0.902,CRITICAL
SHIP-2026-00385,86,668.17,7.769,0.962,CRITICAL
SHIP-2026-00386,37,646.58,17.475,0.82,CRITICAL
SHIP-2026-00387,102,84.6,0.829,0.444,MEDIUM
SHIP-2026-00388,64,129.87,2.029,0.944,CRITICAL
SHIP-2026-00389,65,260.3,4.005,0.784,CRITICAL
SHIP-2026-00390,95,1389.27,14.624,0.871,CRITICAL
SHIP-2026-00391,40,278.03,6.951,0.931,CRITICAL
SHIP-2026-00392,83,1174.7,14.153,0.753,CRITICAL
SHIP-2026-00393,63,1264.43,20.07,0.825,CRITICAL
SHIP-2026-00394,104,132.95,1.278,0.99,CRITICAL
SHIP-2026-00395,70,1445.22,20.646,0.806,CRITICAL
SHIP-2026-00396,96,1268.15,13.21,0.861,CRITICAL
SHIP-2026-00397,67,850.9,12.7,0.826,CRITICAL
SHIP-2026-00398,98,220.6,2.251,0.734,HIGH
SHIP-2026-00399,66,1337.93,20.272,0.874,CRITICAL
SHIP-2026-00400,75,272.42,3.632,0.855,CRITICAL
SHIP-2026-00401,17,1063.05,62.532,0.842,CRITICAL
SHIP-2026-00402,27,464.88,17.218,0.751,CRITICAL
SHIP-2026-00403,34,1186.28,34.891,0.892,CRITICAL
SHIP-2026-00404,76,1405.78,18.497,0.903,CRITICAL
SHIP-2026-00405,117,478.53,4.09,0.926,CRITICAL
SHIP-2026-00406,35,1273.25,36.379,0.832,CRITICAL
SHIP-2026-00407,55,1262.53,22.955,0.725,HIGH
SHIP-2026-00408,81,926.18,11.434,0.765,CRITICAL
SHIP-2026-00409,110,1150.08,10.455,0.955,CRITICAL
SHIP-2026-00410,63,1038.28,16.481,0.99,CRITICAL
SHIP-2026-00411,16,912.23,57.014,0.778,CRITICAL
SHIP-2026-00412,32,1307.48,40.859,0.728,HIGH
SHIP-2026-00413,29,860.63,29.677,0.814,CRITICAL
SHIP-2026-00414,30,428.33,14.278,0.927,CRITICAL
SHIP-2026-00415,83,1369.85,16.504,0.85,CRITICAL
SHIP-2026-00416,53,999.3,18.855,0.919,CRITICAL
SHIP-2026-00417,29,1049.67,36.196,0.842,CRITICAL
SHIP-2026-00418,61,435.5,7.139,0.937,CRITICAL
SHIP-2026-00419,77,535.78,6.958,0.851,CRITICAL
SHIP-2026-00420,84,699.5,8.327,0.926,CRITICAL
SHIP-2026-00421,58,1341.4,23.128,0.81,CRITICAL
SHIP-2026-00422,74,642.95,8.689,0.832,CRITICAL
SHIP-2026-00423,20,965.33,48.267,0.887,CRITICAL
SHIP-2026-00424,84,746.13,8.883,0.77,CRITICAL
SHIP-2026-00425,26,1.57,0.06,0.072,LOW
SHIP-2026-00426,56,45.0,0.804,0.275,MEDIUM
SHIP-2026-00427,46,592.62,12.883,0.895,CRITICAL
SHIP-2026-00428,49,1120.63,22.87,0.92,CRITICAL
SHIP-2026-00429,64,1158.17,18.096,0.99,CRITICAL
SHIP-2026-00430,78,1104.62,14.162,0.99,CRITICAL
SHIP-2026-00431,96,913.7,9.518,0.799,CRITICAL
SHIP-2026-00432,56,579.58,10.35,0.799,CRITICAL
SHIP-2026-00433,104,1011.7,9.728,0.8,CRITICAL
SHIP-2026-00434,79,435.83,5.517,0.884,CRITICAL
